profile_id,pres,temp,lat,lon,psal,date
5904482_165,180.22,1.761,-59.703,144.455,34.23,2018-06-01T23:53:11.002Z
5904482_165,182.22,1.818,-59.703,144.455,34.24,2018-06-01T23:53:11.002Z
5904482_165,184.22,1.865,-59.703,144.455,34.246,2018-06-01T23:53:11.002Z
5904482_165,186.22,1.873,-59.703,144.455,34.248,2018-06-01T23:53:11.002Z
5904482_165,188.22,1.889,-59.703,144.455,34.251,2018-06-01T23:53:11.002Z
5904482_165,190.22,1.93,-59.703,144.455,34.258,2018-06-01T23:53:11.002Z
5904482_165,192.22,1.94,-59.703,144.455,34.26,2018-06-01T23:53:11.002Z
5904482_165,194.22,1.96,-59.703,144.455,34.264,2018-06-01T23:53:11.002Z
5904482_165,196.22,1.972,-59.703,144.455,34.267,2018-06-01T23:53:11.002Z
5904482_165,198.22,1.985,-59.703,144.455,34.272,2018-06-01T23:53:11.002Z
5904482_165,200.22,2.0,-59.703,144.455,34.277,2018-06-01T23:53:11.002Z
5904482_165,202.22,2.039,-59.703,144.455,34.284,2018-06-01T23:53:11.002Z
5904482_165,204.22,2.057,-59.703,144.455,34.288,2018-06-01T23:53:11.002Z
5904482_165,206.22,2.093,-59.703,144.455,34.293,2018-06-01T23:53:11.002Z
5904482_165,208.22,2.073,-59.703,144.455,34.294,2018-06-01T23:53:11.002Z
5904482_165,210.22,2.05,-59.703,144.455,34.294,2018-06-01T23:53:11.002Z
5904482_165,212.22,2.038,-59.703,144.455,34.296,2018-06-01T23:53:11.002Z
5904482_165,214.22,2.052,-59.703,144.455,34.3,2018-06-01T23:53:11.002Z
5904482_165,216.22,2.087,-59.703,144.455,34.305,2018-06-01T23:53:11.002Z
5904482_165,218.22,2.114,-59.703,144.455,34.309,2018-06-01T23:53:11.002Z
5904482_165,220.22,2.121,-59.703,144.455,34.311,2018-06-01T23:53:11.002Z
5904482_165,222.22,2.126,-59.703,144.455,34.313,2018-06-01T23:53:11.002Z
5904482_165,224.22,2.135,-59.703,144.455,34.315,2018-06-01T23:53:11.002Z
5904482_165,226.22,2.154,-59.703,144.455,34.319,2018-06-01T23:53:11.002Z
5904482_165,228.22,2.164,-59.703,144.455,34.321,2018-06-01T23:53:11.002Z
5904482_165,230.22,2.162,-59.703,144.455,34.322,2018-06-01T23:53:11.002Z
5904482_165,232.22,2.16,-59.703,144.455,34.324,2018-06-01T23:53:11.002Z
5904482_165,234.22,2.144,-59.703,144.455,34.323,2018-06-01T23:53:11.002Z
5904482_165,236.22,2.118,-59.703,144.455,34.323,2018-06-01T23:53:11.002Z
5904482_165,238.22,2.107,-59.703,144.455,34.326,2018-06-01T23:53:11.002Z
5904482_165,240.22,2.126,-59.703,144.455,34.329,2018-06-01T23:53:11.002Z
5904482_165,242.22,2.149,-59.703,144.455,34.333,2018-06-01T23:53:11.002Z
5904482_165,244.22,2.157,-59.703,144.455,34.337,2018-06-01T23:53:11.002Z
5904482_165,246.22,2.161,-59.703,144.455,34.338,2018-06-01T23:53:11.002Z
5904482_165,248.22,2.153,-59.703,144.455,34.341,2018-06-01T23:53:11.002Z
5904482_165,250.22,2.197,-59.703,144.455,34.349,2018-06-01T23:53:11.002Z
5904482_165,252.22,2.229,-59.703,144.455,34.356,2018-06-01T23:53:11.002Z
5904482_165,254.22,2.201,-59.703,144.455,34.356,2018-06-01T23:53:11.002Z
5904482_165,256.22,2.184,-59.703,144.455,34.359,2018-06-01T23:53:11.002Z
5904482_165,258.22,2.219,-59.703,144.455,34.364,2018-06-01T23:53:11.002Z
5904482_165,260.22,2.235,-59.703,144.455,34.366,2018-06-01T23:53:11.002Z
5904482_165,262.22,2.238,-59.703,144.455,34.367,2018-06-01T23:53:11.002Z
5904482_165,264.22,2.252,-59.703,144.455,34.37,2018-06-01T23:53:11.002Z
5904482_165,266.22,2.224,-59.703,144.455,34.371,2018-06-01T23:53:11.002Z
5904482_165,268.22,2.224,-59.703,144.455,34.374,2018-06-01T23:53:11.002Z
5904482_165,270.22,2.245,-59.703,144.455,34.379,2018-06-01T23:53:11.002Z
5904482_165,272.22,2.263,-59.703,144.455,34.382,2018-06-01T23:53:11.002Z
5904482_165,274.22,2.29,-59.703,144.455,34.386,2018-06-01T23:53:11.002Z
5904482_165,276.22,2.307,-59.703,144.455,34.39,2018-06-01T23:53:11.002Z
5904482_165,278.22,2.309,-59.703,144.455,34.391,2018-06-01T23:53:11.002Z
5904482_165,280.22,2.305,-59.703,144.455,34.392,2018-06-01T23:53:11.002Z
5904482_165,282.22,2.303,-59.703,144.455,34.393,2018-06-01T23:53:11.002Z
5904482_165,284.22,2.299,-59.703,144.455,34.393,2018-06-01T23:53:11.002Z
5904482_165,286.22,2.301,-59.703,144.455,34.396,2018-06-01T23:53:11.002Z
5904482_165,288.22,2.313,-59.703,144.455,34.4,2018-06-01T23:53:11.002Z
5904482_165,290.22,2.322,-59.703,144.455,34.403,2018-06-01T23:53:11.002Z
5904482_165,292.22,2.323,-59.703,144.455,34.405,2018-06-01T23:53:11.002Z
5904482_165,294.22,2.321,-59.703,144.455,34.407,2018-06-01T23:53:11.002Z
5904482_165,296.22,2.325,-59.703,144.455,34.41,2018-06-01T23:53:11.002Z
5904482_165,298.22,2.334,-59.703,144.455,34.414,2018-06-01T23:53:11.002Z
5904482_165,300.22,2.335,-59.703,144.455,34.416,2018-06-01T23:53:11.002Z
5904482_165,302.22,2.332,-59.703,144.455,34.417,2018-06-01T23:53:11.002Z
5904482_165,304.22,2.33,-59.703,144.455,34.418,2018-06-01T23:53:11.002Z
5904482_165,306.22,2.331,-59.703,144.455,34.419,2018-06-01T23:53:11.002Z
5904482_165,308.22,2.332,-59.703,144.455,34.42,2018-06-01T23:53:11.002Z
5904482_165,310.22,2.33,-59.703,144.455,34.421,2018-06-01T23:53:11.002Z
5904482_165,312.22,2.333,-59.703,144.455,34.424,2018-06-01T23:53:11.002Z
5904482_165,314.22,2.333,-59.703,144.455,34.427,2018-06-01T23:53:11.002Z
5904482_165,316.22,2.333,-59.703,144.455,34.428,2018-06-01T23:53:11.002Z
5904482_165,318.22,2.326,-59.703,144.455,34.43,2018-06-01T23:53:11.002Z
5904482_165,320.22,2.327,-59.703,144.455,34.433,2018-06-01T23:53:11.002Z
5904482_165,322.22,2.336,-59.703,144.455,34.435,2018-06-01T23:53:11.002Z
5904482_165,324.22,2.333,-59.703,144.455,34.436,2018-06-01T23:53:11.002Z
5904482_165,326.22,2.332,-59.703,144.455,34.436,2018-06-01T23:53:11.002Z
5904482_165,328.22,2.336,-59.703,144.455,34.44,2018-06-01T23:53:11.002Z
5904482_165,330.22,2.339,-59.703,144.455,34.444,2018-06-01T23:53:11.002Z
5904482_165,332.22,2.338,-59.703,144.455,34.445,2018-06-01T23:53:11.002Z
5904482_165,334.22,2.339,-59.703,144.455,34.446,2018-06-01T23:53:11.002Z
5904482_165,336.22,2.341,-59.703,144.455,34.448,2018-06-01T23:53:11.002Z
5904482_165,338.22,2.341,-59.703,144.455,34.45,2018-06-01T23:53:11.002Z
5904482_165,340.22,2.341,-59.703,144.455,34.451,2018-06-01T23:53:11.002Z
